                       RawText	                   WordsVector	                     Deceptive	             NumberOfSentences	                 NumberOfWords	          NumberOfComplexWords	             NumberOfSyllables	            NumberOfCharacters	             AvarageWordLength	     AutomatedReadabilityIndex	               SMOGReadability	          SMOGReadabilityIndex	              ColemanLiauIndex	               GunningFogIndex	 FleschKincaidReadabilityIndex	        FleschReadabilityIndex
This hotel was wonderful. M...	[[This, hotel, was, wonderf...	                          true	                           5.0	                          38.0	                           5.0	                          57.0	                         175.0	            4.7368421052631575	                         4.061	                         8.842	                         8.477	                         8.325	                           8.0	                         5.074	                        72.221
The Conrad Chicago is a Mic...	[[The, Conrad, Chicago, is,...	                          true	                           7.0	                         122.0	                          14.0	                         178.0	                         516.0	              4.30327868852459	                         7.205	                        11.208	                        10.746	                         8.112	                          11.2	                         8.424	                        65.712
My wife and I spent several...	[[My, wife, and, I, spent, ...	                         false	                          10.0	                          90.0	                           7.0	                         122.0	                         360.0	                           4.3	                          1.91	                         7.909	                         7.583	                          4.76	                           6.4	                         3.916	                         83.02
My husband and I visited th...	[[My, husband, and, I, visi...	                          true	                           4.0	                          68.0	                           5.0	                          93.0	                         262.0	             4.014705882352941	                         5.217	                         9.516	                         9.124	                         5.894	                           9.6	                         7.178	                        73.877
Overall I had a VERY Bad ex...	[[Overall, I, had, a, VERY,...	                         false	                           4.0	                          78.0	                           8.0	                         106.0	                         319.0	                          4.25	                         7.583	                        11.208	                        10.746	                         7.289	                          11.6	                         8.051	                        72.073
To whom this may concern, m...	[[To, whom, this, may, conc...	                          true	                           7.0	                         177.0	                          11.0	                         239.0	                         725.0	             4.146892655367232	                        10.505	                         10.29	                         9.866	                         7.326	                          12.4	                        10.205	                        66.936
Couldn't have asked for a b...	[[Could, not, have, asked, ...	                          true	                           6.0	                         119.0	                          12.0	                         171.0	                         534.0	             4.593220338983051	                         9.622	                        11.208	                        10.746	                         9.631	                          11.6	                         9.101	                        65.136
The James Chicago is a stuf...	[[The, James, Chicago, is, ...	                          true	                           7.0	                          67.0	                           8.0	                         103.0	                         311.0	             4.818181818181818	                         5.219	                         9.236	                         8.855	                          8.54	                           8.0	                         6.283	                        67.063
Stayed at the Sofitel Chica...	[[Stayed, at, the, Sofitel,...	                         false	                          10.0	                         132.0	                          26.0	                         218.0	                         646.0	             4.932835820895522	                          8.22	                        12.341	                        11.832	                        11.025	                          12.8	                         9.046	                        53.719
For the price, you would th...	[[For, the, price, you, wou...	                          true	                           8.0	                         126.0	                          10.0	                         174.0	                         530.0	             4.362903225806452	                         6.257	                         9.516	                         9.124	                         7.975	                           8.8	                         6.848	                         74.02
Dissapointed with my stay a...	[[Dissapointed, with, my, s...	                          true	                           8.0	                         180.0	                          18.0	                         242.0	                         711.0	             3.994475138121547	                         8.424	                        11.698	                        11.216	                         6.465	                          12.8	                         9.049	                        70.258
I stayed in the Homewood Su...	[[I, stayed, in, the, Homew...	                          true	                           9.0	                         151.0	                          16.0	                         218.0	                         653.0	             4.403973509933775	                         7.327	                        10.746	                        10.303	                         8.671	                          10.4	                         7.989	                        67.668
Me and my husband got marri...	[[Me, and, my, husband, got...	                          true	                           7.0	                          53.0	                           3.0	                          67.0	                         214.0	             4.169811320754717	                         1.373	                         6.869	                         6.586	                         4.982	                           4.8	                          2.28	                        92.203
My husband and I stayed at ...	[[My, husband, and, I, stay...	                          true	                           6.0	                          80.0	                          10.0	                         112.0	                         322.0	                        4.0625	                         4.194	                        10.504	                        10.071	                         5.907	                          10.0	                          6.13	                        74.862
This was a wonderful stay. ...	[[This, was, a, wonderful, ...	                         false	                           4.0	                          76.0	                           8.0	                         106.0	                         333.0	             4.473684210526316	                         8.707	                        11.208	                        10.746	                         9.007	                          11.6	                         8.278	                        69.555
We just got back from a gre...	[[We, just, got, back, from...	                         false	                          10.0	                         178.0	                          17.0	                         243.0	                         708.0	             4.194285714285714	                         6.204	                        10.578	                        10.141	                         6.628	                          10.4	                         7.461	                        73.275
Arrived on 06/04/05, greete...	[[Arrived, on, 06/04/05, gr...	                         false	                          12.0	                         146.0	                          11.0	                         201.0	                         619.0	             4.438356164383562	                         4.622	                         8.599	                         8.244	                         7.172	                           7.6	                           5.4	                        78.016
I found this hotel in the "...	[[I, found, this, hotel, in...	                         false	                           7.0	                         188.0	                          18.0	                         264.0	                         812.0	              4.35978835978836	                        12.342	                         12.29	                        11.783	                          8.64	                          14.0	                        11.454	                        60.775
I was really excited to be ...	[[I, was, really, excited, ...	                          true	                          24.0	                         459.0	                          36.0	                         626.0	                        1833.0	             4.094298245614035	                         6.942	                        10.126	                         9.708	                         6.722	                          10.4	                         7.962	                        72.043
I stayed at the Sheraton as...	[[I, stayed, at, the, Shera...	                         false	                           8.0	                         152.0	                          20.0	                         225.0	                         659.0	             4.372549019607843	                          8.49	                        12.162	                         11.66	                         8.736	                          12.8	                         9.287	                         62.32
The Omni Chicago Hotel is n...	[[The, Omni, Chicago, Hotel...	                          true	                           9.0	                         168.0	                          19.0	                         229.0	                         683.0	             4.081871345029239	                         7.052	                         11.43	                        10.958	                         7.146	                          11.6	                         7.775	                         72.57
I traveled to Chicago with ...	[[I, traveled, to, Chicago,...	                          true	                           6.0	                          68.0	                          12.0	                         108.0	                         316.0	             4.720588235294118	                         6.124	                        11.208	                        10.746	                         9.571	                          11.2	                         7.571	                        60.967
The hotel is well located, ...	[[The, hotel, is, well, loc...	                         false	                          10.0	                         176.0	                          15.0	                         242.0	                         741.0	             4.385057471264368	                           7.2	                        10.126	                         9.708	                         7.998	                          10.0	                         7.499	                        72.646
My husband and I stayed at ...	[[My, husband, and, I, stay...	                          true	                          16.0	                         265.0	                          22.0	                         361.0	                        1104.0	             4.306818181818182	                         6.473	                         9.828	                         9.423	                         7.738	                           9.6	                         6.944	                        74.777
We stayed in the Millennium...	[[We, stayed, in, the, Mill...	                          true	                           9.0	                         173.0	                          12.0	                         230.0	                         716.0	             4.190751445086705	                         7.675	                         9.726	                         9.325	                         7.577	                          10.0	                         7.595	                         74.85
My husband and I stayed at ...	[[My, husband, and, I, stay...	                          true	                           7.0	                         123.0	                          16.0	                         186.0	                         534.0	             4.370967741935484	                         7.804	                        11.766	                        11.281	                         8.771	                          12.0	                         9.107	                        61.068
 If you are traveling to Ch...	[[If, you, are, traveling, ...	                          true	                          16.0	                         284.0	                          41.0	                         427.0	                        1211.0	              4.32280701754386	                         7.529	                        12.274	                        11.768	                         8.315	                          12.4	                         9.074	                        61.621
We arrived at the Omni on 2...	[[We, arrived, at, the, Omn...	                         false	                          14.0	                         163.0	                          14.0	                         219.0	                         630.0	            3.9515151515151516	                         2.596	                         8.842	                         8.477	                         4.965	                           7.6	                         4.805	                        81.352
This hotel is rather stupid...	[[This, hotel, is, rather, ...	                         false	                          11.0	                         185.0	                          11.0	                         235.0	                         702.0	             4.022222222222222	                         4.852	                         8.842	                         8.477	                          5.55	                           8.4	                         5.958	                          82.3
My daughter and I woke in t...	[[My, daughter, and, I, wok...	                         false	                           6.0	                          97.0	                           6.0	                         126.0	                         370.0	             3.917525773195876	                         4.619	                         8.842	                         8.477	                         5.667	                           8.8	                         6.043	                        80.533
I stayed at the Chicago Fai...	[[I, stayed, at, the, Chica...	                         false	                          14.0	                         247.0	                          23.0	                         343.0	                        1062.0	             4.354838709677419	                         7.643	                        10.451	                         10.02	                         8.525	                          10.4	                         7.677	                        71.447
My stay at the Ambassador E...	[[My, stay, at, the, Ambass...	                         false	                           7.0	                         101.0	                          14.0	                         150.0	                         471.0	             4.732673267326732	                         7.749	                        11.208	                        10.746	                         9.667	                          10.8	                         7.562	                        66.546
I stayed here for a weekend...	[[I, stayed, here, for, a, ...	                          true	                           5.0	                          68.0	                           7.0	                          97.0	                         292.0	             4.545454545454546	                         5.595	                         9.889	                         9.481	                         7.492	                           9.2	                         6.546	                        72.352
I recently stayed at the Ha...	[[I, recently, stayed, at, ...	                          true	                          13.0	                         283.0	                          13.0	                         372.0	                        1127.0	             4.049469964664311	                         8.211	                         8.842	                         8.477	                         6.656	                          10.0	                         8.411	                        73.534
After reading the Trip Advi...	[[After, reading, the, Trip...	                         false	                           7.0	                         123.0	                          17.0	                         183.0	                         546.0	             4.560975609756097	                         8.264	                        12.032	                        11.536	                         9.346	                          12.0	                         8.819	                        63.132
I will never use Ambassador...	[[I, will, never, use, Amba...	                          true	                           6.0	                          93.0	                           8.0	                         132.0	                         389.0	             4.258064516129032	                         6.021	                         9.726	                         9.325	                         7.837	                           9.2	                         7.203	                        71.025
Me and my business associat...	[[Me, and, my, business, as...	                          true	                           8.0	                         103.0	                          12.0	                         144.0	                         427.0	             4.201923076923077	                         4.533	                        10.126	                         9.708	                         6.618	                           9.2	                         5.928	                        75.491
Will not stay here again. W...	[[Will, not, stay, here, ag...	                         false	                          12.0	                         176.0	                          19.0	                         257.0	                         772.0	             4.525714285714286	                         6.563	                        10.317	                         9.892	                         8.036	                           9.6	                         7.361	                        68.413
We chose to stay at a small...	[[We, chose, to, stay, at, ...	                         false	                          28.0	                         421.0	                          37.0	                         595.0	                        1811.0	              4.38388625592417	                         6.349	                         9.696	                         9.296	                         8.537	                           9.2	                         6.951	                        72.008
The Hard Rock Hotel was a n...	[[The, Hard, Rock, Hotel, w...	                         false	                           6.0	                         144.0	                          17.0	                         197.0	                         611.0	             4.335616438356165	                        10.555	                        12.745	                         12.22	                         8.192	                          14.0	                         9.913	                        66.738
I stayed at the Hilton Chic...	[[I, stayed, at, the, Hilto...	                          true	                          12.0	                         206.0	                          19.0	                         281.0	                         819.0	                         4.205	                         5.879	                        10.317	                         9.892	                         6.617	                          10.4	                         7.201	                         74.01
The Ambassador East Hotel i...	[[The, Ambassador, East, Ho...	                          true	                           6.0	                         109.0	                           5.0	                         140.0	                         433.0	             4.055045871559633	                         6.364	                         8.344	                           8.0	                         6.598	                           8.8	                         6.651	                        79.735
The Affinia Manhattan is fa...	[[The, Affinia, Manhattan, ...	                          true	                           9.0	                          77.0	                           7.0	                         106.0	                         310.0	             4.116883116883117	                          1.81	                         8.167	                          7.83	                         4.913	                           6.8	                         3.991	                        81.689
Used this hotel the first t...	[[Used, this, hotel, the, f...	                         false	                          11.0	                         124.0	                          18.0	                         193.0	                         566.0	              4.80327868852459	                         5.705	                        10.437	                        10.006	                         9.085	                          10.0	                         7.172	                        63.717
This hotel is the best hote...	[[This, hotel, is, the, bes...	                          true	                           6.0	                         121.0	                           8.0	                         164.0	                         460.0	            3.9327731092436973	                         6.559	                         9.726	                         9.325	                         5.592	                          10.4	                         8.268	                        71.701
Advertised as a luxury hote...	[[Advertised, as, a, luxury...	                          true	                          25.0	                         446.0	                          66.0	                         689.0	                        1978.0	             4.566893424036281	                         8.379	                        12.411	                        11.899	                         9.322	                          12.4	                         9.597	                        58.034
I found my stay at the Hote...	[[I, found, my, stay, at, t...	                          true	                           7.0	                         123.0	                          11.0	                         170.0	                         510.0	             4.241935483870968	                         6.885	                         10.29	                         9.866	                         7.622	                          10.0	                         7.572	                        72.073
When we got checked and arr...	[[When, we, got, checked, a...	                          true	                           7.0	                         109.0	                          12.0	                         151.0	                         453.0	             4.229357798165138	                          5.93	                        10.609	                        10.171	                         7.679	                          10.4	                          6.83	                        73.832
The Amalfi Hotel Chicago is...	[[The, Amalfi, Hotel, Chica...	                          true	                           4.0	                          73.0	                          12.0	                         120.0	                         339.0	             4.873239436619718	                         9.567	                        13.024	                        12.487	                        10.552	                          13.6	                        10.925	                        49.243
Booked a room w/ a queen be...	[[Booked, a, room, w/, a, q...	                         false	                           8.0	                         154.0	                          14.0	                         216.0	                         645.0	             4.348684210526316	                         7.922	                        10.686	                        10.246	                         7.869	                          11.2	                         8.468	                        68.637
My wife and I went to Chica...	[[My, wife, and, I, went, t...	                          true	                          11.0	                         156.0	                          15.0	                         215.0	                         632.0	             4.169811320754717	                         4.742	                           9.8	                         9.396	                         6.062	                           9.2	                         6.204	                        75.844
Have stayed at this hotel o...	[[Have, stayed, at, this, h...	                         false	                           4.0	                          84.0	                          12.0	                         125.0	                         394.0	             4.819277108433735	                        11.162	                        13.024	                        12.487	                        10.827	                          14.0	                         10.16	                        59.627
Any traveler who is loyal t...	[[Any, traveler, who, is, l...	                         false	                           9.0	                         134.0	                          16.0	                         202.0	                         630.0	             4.798507462686567	                         8.158	                        10.746	                        10.303	                         9.892	                          10.0	                         8.005	                        64.191
I choose the Homewood Suite...	[[I, choose, the, Homewood,...	                         false	                          24.0	                         426.0	                          42.0	                         577.0	                        1673.0	             4.018779342723005	                         5.942	                        10.686	                        10.246	                         6.331	                          10.4	                         7.315	                        74.231
I never thought I'd be able...	[[I, never, thought, I'd, b...	                          true	                          21.0	                         274.0	                          29.0	                         396.0	                        1168.0	            4.4572490706319705	                         5.171	                         9.842	                         9.437	                         7.308	                           9.2	                         6.553	                        71.323
We stayed for a one night g...	[[We, stayed, for, a, one, ...	                         false	                           7.0	                         106.0	                           5.0	                         145.0	                         441.0	             4.419047619047619	                         5.737	                         7.957	                         7.629	                         7.705	                           7.6	                         6.457	                        75.739
When I walked into the Mill...	[[When, I, walked, into, th...	                          true	                           2.0	                          98.0	                           3.0	                         132.0	                         407.0	             4.214285714285714	                        22.631	                        10.126	                         9.708	                         8.662	                          20.8	                        19.414	                        43.149
Outmoded and worn furnishin...	[[Outmoded, and, worn, furn...	                         false	                          14.0	                         241.0	                          17.0	                         341.0	                        1044.0	             4.446280991735537	                         7.581	                         9.424	                         9.036	                         8.715	                           9.6	                          7.82	                        69.659
Our experience at Hotel Mon...	[[Our, experience, at, Hote...	                          true	                           9.0	                         179.0	                          18.0	                         253.0	                         727.0	             4.138888888888889	                         7.644	                        11.208	                        10.746	                         7.122	                          11.6	                         8.845	                        67.073
This hotel was PERFECT for ...	[[This, hotel, was, PERFECT...	                         false	                           7.0	                          81.0	                           7.0	                         115.0	                         351.0	             4.426829268292683	                         4.766	                         8.842	                         8.477	                         7.723	                           7.6	                         5.676	                        74.979
Do NOT stay at this hotel! ...	[[Do, NOT, stay, at, this, ...	                          true	                           9.0	                         197.0	                          19.0	                         269.0	                         785.0	             4.081632653061225	                         8.283	                         11.43	                        10.958	                          6.67	                          12.0	                         9.059	                        69.098
I recently stayed at the Am...	[[I, recently, stayed, at, ...	                          true	                          17.0	                         331.0	                          54.0	                         512.0	                        1520.0	             4.701219512195122	                         9.934	                        13.311	                        12.762	                        10.248	                          14.0	                        10.256	                        56.211
When my new fiance told me ...	[[When, my, new, fiance, to...	                          true	                           7.0	                         123.0	                          10.0	                         171.0	                         493.0	             4.097560975609756	                         6.234	                         9.957	                         9.547	                         6.808	                          10.0	                         7.668	                        71.385
We travel to Chicago freque...	[[We, travel, to, Chicago, ...	                         false	                          11.0	                         208.0	                          19.0	                         284.0	                         860.0	             4.270531400966184	                         7.499	                        10.637	                        10.198	                         7.553	                          10.8	                         7.896	                        72.131
My husband and I recently s...	[[My, husband, and, I, rece...	                          true	                           8.0	                         104.0	                           8.0	                         134.0	                         421.0	             4.095238095238095	                         4.136	                         8.842	                         8.477	                         6.043	                           8.0	                         4.684	                        84.636
My husband & I stayed at th...	[[My, husband, &, I, stayed...	                         false	                           4.0	                          55.0	                           7.0	                          90.0	                         270.0	             4.879310344827586	                         8.567	                        10.686	                        10.246	                        11.115	                          10.0	                         9.082	                        54.442
This will be the only hotel...	[[This, will, be, the, only...	                          true	                          10.0	                         187.0	                          15.0	                         263.0	                         770.0	             4.241935483870968	                         7.314	                        10.126	                         9.708	                         7.453	                          10.4	                         8.299	                        68.872
The Conrad Hilton recently ...	[[The, Conrad, Hilton, rece...	                         false	                          21.0	                         244.0	                          27.0	                         350.0	                        1055.0	            4.4896265560165975	                         4.744	                         9.607	                         9.211	                         7.667	                           8.8	                         5.868	                        73.689
Great hotel!! The staff is ...	[[Great, hotel], [The, staf...	                          true	                           5.0	                          43.0	                           4.0	                          64.0	                         179.0	             4.209302325581396	                         2.477	                         8.239	                         7.899	                         5.719	                           6.8	                         5.327	                         72.19
We had a king deluxe room f...	[[We, had, a, king, deluxe,...	                         false	                          13.0	                         166.0	                          19.0	                         242.0	                         739.0	            4.5843373493975905	                         5.923	                        10.035	                         9.622	                         8.421	                           9.2	                         6.592	                        70.542
Hello, I recently stayed at...	[[Hello, I, recently, staye...	                          true	                           5.0	                          84.0	                          12.0	                         127.0	                         357.0	             4.416666666666667	                         6.988	                        11.979	                        11.485	                         8.232	                          12.0	                         8.802	                        61.876
This is a great hotel! From...	[[This, is, a, great, hotel...	                         false	                          11.0	                         182.0	                          20.0	                         272.0	                         818.0	             4.675977653631285	                         8.012	                        10.832	                        10.385	                         9.673	                          10.4	                         8.498	                        63.606
We booked the Amalfi lookin...	[[We, booked, the, Amalfi, ...	                         false	                          11.0	                         144.0	                          17.0	                         209.0	                         617.0	            4.3061224489795915	                         5.296	                        10.231	                         9.809	                         7.437	                           9.6	                         6.642	                         70.76
I recently stayed at the Om...	[[I, recently, stayed, at, ...	                          true	                           9.0	                         117.0	                          12.0	                         164.0	                         481.0	             4.188034188034188	                         4.433	                         9.726	                         9.325	                         6.414	                           9.2	                          6.02	                        75.055
We stayed at Hotel Monaco a...	[[We, stayed, at, Hotel, Mo...	                         false	                           5.0	                          79.0	                           8.0	                         109.0	                         335.0	                           4.3	                         6.443	                        10.355	                         9.928	                         8.177	                          10.0	                         6.853	                        74.071
From the moment I stepped i...	[[From, the, moment, I, ste...	                          true	                           5.0	                         140.0	                          13.0	                         200.0	                         579.0	             4.148936170212766	                        12.049	                        12.341	                        11.832	                         7.559	                          14.8	                        12.187	                        57.558
We connected to Affinia Chi...	[[We, connected, to, Affini...	                         false	                          12.0	                         153.0	                          20.0	                         222.0	                         675.0	             4.516339869281046	                         5.724	                        10.504	                        10.071	                         8.185	                          10.0	                         6.504	                        71.141
This is an absolutely gorge...	[[This, is, an, absolutely,...	                          true	                           6.0	                          59.0	                           9.0	                          95.0	                         285.0	             4.915254237288136	                         6.238	                        10.126	                         9.708	                         9.652	                           9.6	                         7.245	                        60.634
We chose the Talbott Hotel ...	[[We, chose, the, Talbott, ...	                          true	                          34.0	                         564.0	                          56.0	                         791.0	                        2383.0	             4.304424778761062	                         6.765	                        10.461	                        10.029	                         8.086	                          10.0	                         7.429	                        71.348
Beautiful hotel, but doesn'...	[[Beautiful, hotel, but, do...	                         false	                           5.0	                          86.0	                           5.0	                         113.0	                         355.0	            4.1976744186046515	                         6.612	                         8.842	                         8.477	                         7.513	                           8.8	                         6.623	                        78.217
I was sorely disappointed w...	[[I, was, sorely, disappoin...	                          true	                          11.0	                         264.0	                          20.0	                         354.0	                        1065.0	             4.151515151515151	                         9.571	                        10.832	                        10.385	                         6.961	                          12.4	                         9.593	                        69.034
I chose to stay at the 'Mil...	[[I, chose, to, stay, at, t...	                          true	                          12.0	                         174.0	                           9.0	                         217.0	                         656.0	              3.88953488372093	                         3.577	                         8.076	                         7.743	                         4.406	                           7.6	                         4.781	                        86.611
I really wish I could say t...	[[I, really, wish, I, could...	                          true	                          25.0	                         415.0	                          24.0	                         530.0	                        1626.0	             4.033980582524272	                         5.324	                         8.726	                         8.367	                         6.277	                           8.4	                         5.954	                        81.943
Had a week long stay at the...	[[Had, a, week, long, stay,...	                         false	                           6.0	                         128.0	                          12.0	                         186.0	                         556.0	             4.369230769230769	                         9.696	                        11.208	                        10.746	                         8.785	                          12.0	                         9.877	                        62.247
Stayed for 3 nights. booked...	[[Stayed, for, 3, nights.],...	                         false	                           4.0	                          38.0	                           4.0	                          54.0	                         169.0	             4.684210526315789	                         4.267	                         8.842	                         8.477	                         7.395	                           7.6	                         4.883	                        76.971
I recently stayed at the Hy...	[[I, recently, stayed, at, ...	                          true	                           8.0	                          83.0	                           8.0	                         112.0	                         334.0	             4.234567901234568	                         2.711	                         8.842	                         8.477	                         5.902	                           7.6	                         4.379	                        82.145
What a terrible experience ...	[[What, a, terrible, experi...	                          true	                           4.0	                          66.0	                           9.0	                          88.0	                         260.0	            3.8823529411764706	                         5.375	                        11.698	                        11.216	                         6.403	                          11.6	                         6.578	                        77.288
My stay at the Homewood Sui...	[[My, stay, at, the, Homewo...	                          true	                           8.0	                         143.0	                          19.0	                         209.0	                         618.0	             4.384615384615385	                         7.863	                        11.933	                        11.441	                         8.655	                          12.0	                         8.627	                        65.046
I stayed at the Swissotel f...	[[I, stayed, at, the, Swiss...	                         false	                           8.0	                         131.0	                          17.0	                         192.0	                         565.0	             4.386363636363637	                         7.072	                        11.457	                        10.984	                         8.603	                          11.2	                         8.091	                         66.22
My wife and I were excited ...	[[My, wife, and, I, were, e...	                          true	                          29.0	                         414.0	                          39.0	                         569.0	                        1692.0	             4.264705882352941	                         4.957	                         9.754	                         9.352	                         6.272	                           9.2	                         6.195	                        76.071
We booked a room at the Hil...	[[We, booked, a, room, at, ...	                          true	                           7.0	                         131.0	                          18.0	                         202.0	                         589.0	                           4.6	                         9.104	                         12.29	                        11.783	                         9.683	                          12.4	                         9.904	                        57.388
